Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
,49,Mother,Violet010200,see the hat ?,Violet,212.321,215.718,[],[1|0|ROOT] [2|3|DET] [3|1|OBJ 4|1|PUNCT],[v|see] [det:art|the] [n|hat ?],,,,,,,,,,MotherofViolet_Violet010200_49
,50,Violet,Violet010200,yyy .,Violet,215.718,218.303,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_50
,51,Mother,Violet010200,who's that ?,Violet,218.303,222.251,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|who~cop|be&3S] [pro:dem|that ?],,,,,,,,,,MotherofViolet_Violet010200_51
,52,Mother,Violet010200,grandma ?,Violet,222.251,250.35,"CHI remains quiet , looks at MOT , then back at book",[1|0|INCROOT 2|1|PUNCT],[grand#n|ma ?],,,,,,,,,,MotherofViolet_Violet010200_52
,53,Mother,Violet010200,bear needs a hat ,Violet,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|2|LP],[n|bear] [v|need-3S] [det:art|a] [n|hat cm|cm],,,,,,,,,,MotherofViolet_Violet010200_53
,53,Mother,Violet010200,how about this orange hat ?,Violet,250.351,252.968,[],[6|2|COMP] [7|6|JCT] [8|10|DET] [9|10|MOD] [10|7|POBJ 11|2|PUNCT],[adv:int|how] [prep|about] [pro:dem|this] [adj|orange] [n|hat ?],,,,,,,,,,MotherofViolet_Violet010200_53
,54,Mother,Violet010200,yes this orange hat is the best .,Violet,252.968,255.791,[],[1|5|COM] [2|4|DET] [3|4|MOD] [4|5|SUBJ] [5|0|ROOT] [6|7|DET] [7|5|PRED 8|5|PUNCT],[co|yes] [pro:dem|this] [adj|orange] [n|hat] [cop|be&3S] [det:art|the] [adj|good&SP .],,,,,,,,,,MotherofViolet_Violet010200_54
,55,Mother,Violet010200,what do you think about that book ?,Violet,255.791,267.041,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|4|JCT] [6|7|DET] [7|5|POBJ 8|4|PUNCT],[pro:int|what] [mod|do] [pro:per|you] [v|think] [prep|about] [pro:dem|that] [n|book ?],,,,,,,,,,MotherofViolet_Violet010200_55
,56,Mother,Violet010200,it's about hat's,Violet,0.0,0.0,[],[1|2|SUBJ 2|0|ROOT] [3|2|JCT] [4|3|POBJ 5|4|POSS 6|4|LP],[pro:per|it~aux|be&3S] [prep|about] [n|hat~poss|s cm|cm] ,,,,,,,,,,MotherofViolet_Violet010200_56
,56,Mother,Violet010200,where's the hat ?,Violet,267.041,269.788,[], [7|8|LINK 8|4|CJCT] [9|10|DET] [10|8|PRED 11|2|PUNCT],[adv:int|where~cop|be&3S] [det:art|the] [n|hat ?],,,,,,,,,,MotherofViolet_Violet010200_56
