Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
147,Lily,Lily020909,xxx .,Lily,319.385,319.95,[],[],[],,,,,,,,,,LilyofLily_Lily020909_147
148,Mother,Lily020909,that would be great I think .,Lily,319.95,321.776,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|3|PRED] [5|6|SUBJ] [6|3|CJCT 7|3|PUNCT],[pro:dem|that] [mod|will&COND] [cop|be] [adj|great] [pro:sub|I] [v|think .],,,,,,,,,,MotherofLily_Lily020909_148
149,Mother,Lily020909,what state should we read about ?,Lily,321.776,323.308,[],[1|5|LINK] [2|5|SUBJ] [3|5|AUX] [4|5|SUBJ] [5|0|ROOT] [6|5|JCT 7|5|PUNCT],[pro:int|what] [n|state] [mod|should] [pro:sub|we] [v|read&ZERO] [adv|about ?],,,,,,,,,,MotherofLily_Lily020909_149
150,Mother,Lily020909,"would you like to read abou:t , how bout (replacement:replacement:about) (t:t:trail off)",Lily,323.308,327.341,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|JCT 7|5|LP] [8|5|COMP] [9|8|JCT 10|3|PUNCT],[mod|will&COND] [pro:per|you] [v|like] [inf|to] [v|read&ZERO] [adv|about cm|cm] [adv:int|how] [adv|about (mt:trail off)],,,,,,,,,,MotherofLily_Lily020909_150
151,Lily,Lily020909,Georgia xxx .,Lily,327.341,332.498,Original Orthography: Geor < gia >[],[1|0|INCROOT] [2|1|PUNCT],[n:prop|Georgia] [.],,,,,,,,,,LilyofLily_Lily020909_151
152,Mother,Lily020909,"you want Georgia , or New_Hampshire ?",Lily,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|LP] [5|2|CONJ] [6|5|COORD 7|2|PUNCT],[pro:per|you] [v|want] [n:prop|Georgia cm|cm] [coord|or] [n:prop|New_Hampshire ?],,,,,,,,,,MotherofLily_Lily020909_152
153,Lily,Lily020909,I want New_Hampshire .,Lily,332.498,336.341,Original Orthography: new+hampsh < ire >[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[pro:sub|I] [v|want] [n:prop|New_Hampshire .],,,,,,,,,,LilyofLily_Lily020909_153
154,Mother,Lily020909,"or , New_Hampshire , okay here's New_Hampshire .",Lily,0.0,0.0,[],[1|7|LINK 2|1|LP] [3|7|SUBJ 4|3|LP] [5|7|JCT] [6|7|SUBJ 7|0|ROOT] [8|7|PRED 9|7|PUNCT],[coord|or cm|cm] [n:prop|New_Hampshire cm|cm] [adj|okay] [pro:exist|here~cop|be&3S] [n:prop|New_Hampshire .],,,,,,,,,,MotherofLily_Lily020909_154
155,Mother,Lily020909,"first , let's see , do we have a big map here , we can find , yeah (replacement:replacement:yes) !",Lily,336.341,341.65,[],[1|3|JCT 2|1|LP] [3|0|ROOT 4|3|OBJ] [5|3|XCOMP 6|5|LP] [7|9|AUX] [8|9|SUBJ] [9|5|CJCT] [10|12|DET] [11|12|MOD] [12|9|OBJ] [13|12|NJCT 14|13|LP] [15|17|SUBJ] [16|17|AUX] [17|12|CMOD 18|17|LP] [19|17|COM 20|3|PUNCT],[adv|first cm|cm] [v|let~pro:obj|us] [v|see cm|cm] [mod|do] [pro:sub|we] [v|have] [det:art|a] [adj|big] [n|map] [adv|here cm|cm] [pro:sub|we] [mod|can] [v|find cm|cm] [co|yes !],,,,,,,,,,MotherofLily_Lily020909_155
156,Mother,Lily020909,where is New_Hampshire on this map ?,Lily,341.65,344.131,[],[1|2|LINK] [2|0|ROOT] [3|2|PRED] [4|3|JCT] [5|6|DET] [6|4|POBJ 7|2|PUNCT],[adv:int|where] [cop|be&3S] [n:prop|New_Hampshire] [prep|on] [pro:dem|this] [n|map ?],,,,,,,,,,MotherofLily_Lily020909_156
157,Mother,Lily020909,first let's find New_Hampshire .,Lily,344.131,345.773,[],[1|2|JCT] [2|0|ROOT 3|2|OBJ] [4|2|XCOMP] [5|4|OBJ 6|2|PUNCT],[adv|first] [v|let~pro:obj|us] [v|find] [n:prop|New_Hampshire .],,,,,,,,,,MotherofLily_Lily020909_157
158,Lily,Lily020909,where is .,Lily,345.773,349.65,[],[1|2|LINK] [2|0|ROOT 3|2|PUNCT],[adv:int|where] [cop|be&3S .],,,,,,,,,,LilyofLily_Lily020909_158
159,Mother,Lily020909,"I think New_Hampshire's (replacement:replacement:New_Hampshire is) next to Maine , can you find it ?",Lily,349.65,353.463,[],[1|2|SUBJ] [2|11|SUBJ] [3|9|SUBJ 4|9|AUX] [5|9|JCT] [6|5|JCT] [7|6|POBJ 8|5|LP] [9|11|AUX] [10|11|SUBJ] [11|0|ROOT] [12|11|OBJ 13|11|PUNCT],[pro:sub|I] [v|think] [n:prop|New_Hampshire aux|be&3S] [adv|next] [prep|to] [n:prop|Maine cm|cm] [mod|can] [pro:per|you] [v|find] [pro:per|it ?],,,,,,,,,,MotherofLily_Lily020909_159
160,Mother,Lily020909,"there it is , very good , it's the green one on this map .",Lily,353.46500000000003,359.62,[],[1|3|JCT] [2|3|SUBJ] [3|0|ROOT 4|3|LP] [5|6|JCT] [6|9|JCT 7|6|LP] [8|9|SUBJ 9|3|CJCT] [10|11|DET] [11|9|PRED] [12|11|XMOD] [13|12|JCT] [14|15|DET] [15|13|POBJ 16|3|PUNCT],[adv|there] [pro:per|it] [cop|be&3S cm|cm] [adv|very] [adj|good cm|cm] [pro:per|it~cop|be&3S] [det:art|the] [n|green] [det:num|one] [prep|on] [pro:dem|this] [n|map .],,,,,,,,,,MotherofLily_Lily020909_160
161,Mother,Lily020909,great .,Lily,359.62,360.41,[],[1|0|INCROOT 2|1|PUNCT],[adj|great .],,,,,,,,,,MotherofLily_Lily020909_161
162,Lily,Lily020909,and who's the yellow one ?,Lily,360.41,362.245,[],[1|6|LINK] [2|6|MOD 3|2|POSS] [4|5|DET] [5|6|MOD] [6|0|ROOT 7|6|PUNCT],[coord|and] [pro:int|who~poss|s] [det:art|the] [n|yellow] [pro:indef|one ?],,,,,,,,,,LilyofLily_Lily020909_162
163,Mother,Lily020909,"that's , what's next to New_Hampshire ?",Lily,362.245,365.083,[],[1|2|SUBJ 2|0|ROOT 3|2|LP] [4|2|CPRED 5|4|POSS] [6|4|JCT] [7|4|JCT] [8|7|POBJ 9|2|PUNCT],[pro:dem|that~cop|be&3S cm|cm] [pro:int|what~poss|s] [adv|next] [prep|to] [n:prop|New_Hampshire ?],,,,,,,,,,MotherofLily_Lily020909_163
164,Lily,Lily020909,what's next to it .,Lily,365.083,368.571,[],[1|2|LINK 2|0|ROOT] [3|2|JCT] [4|3|JCT] [5|4|POBJ 6|2|PUNCT],[pro:int|what~aux|be&3S] [adv|next] [prep|to] [pro:per|it .],,,,,,,,,,LilyofLily_Lily020909_164
165,Mother,Lily020909,"Maine , New_Hampshire (t:t:trail off)",Lily,0.0,0.0,[],[1|0|INCROOT 2|1|LP] [3|1|ENUM 4|1|PUNCT],[n:prop|Maine cm|cm] [n:prop|New_Hampshire (mt:trail off)],,,,,,,,,,MotherofLily_Lily020909_165
166,Lily,Lily020909,"and , who is that ?",Lily,368.571,370.948,[],[1|0|INCROOT 2|1|LP] [3|4|LINK] [4|2|CMOD] [5|4|PRED 6|1|PUNCT],[coord|and cm|cm] [pro:rel|who] [cop|be&3S] [pro:dem|that ?],,,,,,,,,,LilyofLily_Lily020909_166
167,Mother,Lily020909,Vermont !,Lily,370.948,371.636,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Vermont !],,,,,,,,,,MotherofLily_Lily020909_167
168,Lily,Lily020909,Vermont .,Lily,371.638,373.861,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Vermont .],,,,,,,,,,LilyofLily_Lily020909_168
169,Mother,Lily020909,right !,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|right !],,,,,,,,,,MotherofLily_Lily020909_169
170,Mother,Lily020909,"New_Hampshire's colorful fall leaves , crisp winters , and quiet villages are typical of new England states .",Lily,373.861,381.346,[],[1|5|MOD 2|1|POSS] [3|5|MOD] [4|5|MOD] [5|0|ROOT 6|5|LP] [7|8|MOD] [8|5|ENUM 9|8|LP] [10|5|CONJ] [11|10|COORD] [12|13|SUBJ] [13|11|COMP] [14|13|PRED] [15|14|JCT] [16|18|JCT] [17|18|SUBJ] [18|15|POBJ 19|5|PUNCT],[n:prop|New_Hampshire~poss|s] [n|color-FUL] [n|fall] [n|leaf-PL cm|cm] [n|crisp] [n|winter-PL cm|cm] [coord|and] [v|quiet] [n|village-PL] [cop|be&PRES] [adj|typical] [prep|of] [adj|new] [n:prop|England] [v|state-3S .],,,,,,,,,,MotherofLily_Lily020909_170
171,Mother,Lily020909,"wow , the world's fastest wind speed was recorded on the top of mount Washington , which is a very tall mountain in New_Hampshire .",Lily,381.346,390.881,[],[1|10|COM 2|1|LP] [3|4|DET] [4|8|MOD 5|4|POSS] [6|8|MOD] [7|8|MOD] [8|10|SUBJ] [9|10|AUX] [10|0|ROOT] [11|10|JCT] [12|13|DET] [13|11|POBJ] [14|13|NJCT] [15|14|POBJ] [16|10|XJCT 17|16|LP] [18|19|LINK] [19|16|CMOD] [20|23|DET] [21|22|JCT] [22|23|MOD] [23|19|PRED] [24|23|NJCT] [25|24|POBJ 26|10|PUNCT],[co|wow cm|cm] [det:art|the] [n|world~poss|s] [adj|fast-SP] [n|wind] [n|speed] [aux|be&PAST&13S] [part|record-PASTP] [prep|on] [det:art|the] [n|top] [prep|of] [n|mount] [n:prop|Washington cm|cm] [pro:rel|which] [cop|be&3S] [det:art|a] [adv|very] [adj|tall] [n|mountain] [prep|in] [n:prop|New_Hampshire .],,,,,,,,,,MotherofLily_Lily020909_171
172,Mother,Lily020909,wow .,Lily,390.881,393.125,[],[1|0|INCROOT 2|1|PUNCT],[co|wow .],,,,,,,,,,MotherofLily_Lily020909_172
173,Mother,Lily020909,xxx their flower is the purple lilac .,Lily,393.125,395.845,gasps,[] [1|2|MOD] [2|3|SUBJ] [3|0|ROOT] [4|6|DET] [5|6|MOD] [6|3|PRED 7|3|PUNCT],[] [det:poss|their] [n|flower] [cop|be&3S] [det:art|the] [n|purple] [n|lilac .],,,,,,,,,,MotherofLily_Lily020909_173
174,Mother,Lily020909,and their bird is the purple finch .,Lily,395.845,399.061,[],[1|4|LINK] [2|3|MOD] [3|4|SUBJ] [4|0|ROOT] [5|7|DET] [6|7|MOD] [7|4|PRED 8|4|PUNCT],[coord|and] [det:poss|their] [n|bird] [cop|be&3S] [det:art|the] [adj|purple] [n|finch .],,,,,,,,,,MotherofLily_Lily020909_174
175,Mother,Lily020909,thank you .,Lily,399.061,400.143,[],[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|thank] [pro:per|you .],,,,,,,,,,MotherofLily_Lily020909_175
176,Mother,Lily020909,wanna hear a story about this rock ?,Lily,400.143,402.056,[],[1|2|AUX] [2|0|ROOT] [3|4|DET] [4|2|OBJ] [5|4|NJCT] [6|7|DET] [7|5|POBJ 8|2|PUNCT],[mod:aux|wanna] [v|hear] [det:art|a] [n|story] [prep|about] [pro:dem|this] [n|rock ?],,,,,,,,,,MotherofLily_Lily020909_176
177,Lily,Lily020909,yeah .,Lily,402.056,402.773,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,LilyofLily_Lily020909_177
178,Mother,Lily020909,they had a rock in New_Hampshire that looked like an old man in a mountain .,Lily,402.773,406.77,[],[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|OBJ] [5|2|JCT] [6|5|POBJ] [7|8|LINK] [8|2|CJCT] [9|8|JCT] [10|12|DET] [11|12|MOD] [12|9|POBJ] [13|12|NJCT] [14|15|DET] [15|13|POBJ 16|2|PUNCT],[pro:sub|they] [v|have&PAST] [det:art|a] [n|rock] [prep|in] [n:prop|New_Hampshire] [pro:rel|that] [v|look-PAST] [prep|like] [det:art|a] [adj|old] [n|man] [prep|in] [det:art|a] [n|mountain .],,,,,,,,,,MotherofLily_Lily020909_178
179,Mother,Lily020909,"see , that was his nose , and his mouth , and everyone used to look at it , but , last year , the rock fell down .",Lily,406.77,414.975,[],[1|0|INCROOT 2|1|LP] [3|4|LINK] [4|1|CMOD] [5|6|MOD] [6|4|PRED 7|6|LP] [8|4|CONJ] [9|10|MOD] [10|8|COORD 11|10|LP] [12|14|LINK] [13|14|SUBJ] [14|4|PRED] [15|16|INF] [16|14|XCOMP] [17|16|JCT] [18|17|POBJ 19|18|LP] [20|16|CONJ 21|20|LP] [22|23|MOD] [23|20|COORD 24|23|LP] [25|26|DET] [26|27|SUBJ] [27|23|CJCT] [28|27|JCT 29|1|PUNCT],[co|see cm|cm] [pro:rel|that] [cop|be&PAST&13S] [det:poss|his] [n|nose cm|cm] [coord|and] [det:poss|his] [n|mouth cm|cm] [coord|and] [pro:indef|everyone] [v|use-PAST] [inf|to] [v|look] [prep|at] [pro:per|it cm|cm] [conj|but cm|cm] [adj|last] [n|year cm|cm] [det:art|the] [n|rock] [v|fall&PAST] [adv|down .],,,,,,,,,,MotherofLily_Lily020909_179
180,Lily,Lily020909,what is it ?,Lily,414.976,416.905,[],[1|3|LINK] [2|3|AUX] [3|0|INCROOT 4|3|PUNCT],[pro:int|what] [aux|be&3S] [pro:per|it ?],,,,,,,,,,LilyofLily_Lily020909_180
181,Mother,Lily020909,there's no more man in the mountain .,Lily,416.905,418.445,[],[1|2|SUBJ 2|0|ROOT] [3|5|QUANT] [4|5|QUANT] [5|2|PRED] [6|5|NJCT] [7|8|DET] [8|6|POBJ 9|2|PUNCT],[pro:exist|there~cop|be&3S] [qn|no] [qn|more] [n|man] [prep|in] [det:art|the] [n|mountain .],,,,,,,,,,MotherofLily_Lily020909_181
182,Mother,Lily020909,the rock fell down .,Lily,418.445,419.73,[],[1|2|DET] [2|3|SUBJ] [3|0|ROOT] [4|3|JCT 5|3|PUNCT],[det:art|the] [n|rock] [v|fall&PAST] [adv|down .],,,,,,,,,,MotherofLily_Lily020909_182
183,Mother,Lily020909,oh_goodness .,Lily,419.73,421.043,[],[1|0|INCROOT 2|1|PUNCT],[co|oh_goodness .],,,,,,,,,,MotherofLily_Lily020909_183
184,Lily,Lily020909,oh_goodness .,Lily,421.043,423.18,[],[1|0|INCROOT 2|1|PUNCT],[co|oh_goodness .],,,,,,,,,,LilyofLily_Lily020909_184
185,Mother,Lily020909,"yeah , but we have pictures of it .",Lily,423.18,425.545,[],[1|0|INCROOT 2|1|LP] [3|5|LINK] [4|5|SUBJ] [5|1|CJCT] [6|5|OBJ] [7|6|NJCT] [8|7|POBJ 9|1|PUNCT],[co|yeah cm|cm] [conj|but] [pro:sub|we] [v|have] [n|picture-PL] [prep|of] [pro:per|it .],,,,,,,,,,MotherofLily_Lily020909_185
186,Mother,Lily020909,so we'll have_to remember it .,Lily,425.545,428.245,[],[1|5|JCT] [2|5|SUBJ 3|5|AUX] [4|5|AUX] [5|0|ROOT] [6|5|OBJ 7|5|PUNCT],[adv|so] [pro:sub|we~mod|will] [mod:aux|have_to] [v|remember] [pro:per|it .],,,,,,,,,,MotherofLily_Lily020909_186
