Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
784,Violet,Violet030600,xxx .,Violet,1966.615,1969.115,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_784
785,Mother,Violet030600,what's wrong ?,Violet,1969.115,1970.448,[],[1|3|LINK 2|3|AUX] [3|0|INCROOT 4|3|PUNCT],[pro:int|what~aux|be&3S] [adj|wrong ?],,,,,,,,,,MotherofViolet_Violet030600_785
786,Violet,Violet030600,"I'm just hugging ya (replacement:replacement:you) , hugging ya (replacement:replacement:you) , hugging ya (replacement:replacement:you) .",Violet,1970.448,1974.386,"Original Orthography: [I'm] [just] [huggin < g > ] [ya (replacement:you) ,] [huggin < g > ] [ya (replacement:you) ,] [huggin < g > ] [ya (replacement:you) .][]",[1|4|SUBJ 2|4|AUX] [3|4|JCT] [4|0|ROOT] [5|4|OBJ 6|4|LP] [7|4|XJCT] [8|7|OBJ 9|7|LP] [10|4|XJCT] [11|10|OBJ 12|4|PUNCT],[pro:sub|I~aux|be&1S] [adv|just] [part|hug-PRESP] [pro:per|you cm|cm] [part|hug-PRESP] [pro:per|you cm|cm] [part|hug-PRESP] [pro:per|you .],,,,,,,,,,VioletofViolet_Violet030600_786
787,Mother,Violet030600,&aw thank ya (replacement:replacement:you) honey .,Violet,0.0,0.0,[],[] [1|0|ROOT] [2|3|MOD] [3|1|OBJ 4|1|PUNCT],[] [v|thank] [pro:per|you] [n|honey .],,,,,,,,,,MotherofViolet_Violet030600_787
788,Violet,Violet030600,doggy doggy doggy .,Violet,1974.386,1978.295,[],[1|3|MOD] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[n|dog-DIM] [n|dog-DIM] [n|dog-DIM .],,,,,,,,,,VioletofViolet_Violet030600_788
789,Violet,Violet030600,dog .,Violet,1978.295,1979.42,[],[1|0|ROOT 2|1|PUNCT],[v|dog .],,,,,,,,,,VioletofViolet_Violet030600_789
790,Violet,Violet030600,I'm hugging and hugging your head .,Violet,1979.42,1982.928,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|CONJ] [5|4|COORD] [6|7|MOD] [7|5|OBJ 8|3|PUNCT],[pro:sub|I~aux|be&1S] [part|hug-PRESP] [coord|and] [part|hug-PRESP] [det:poss|your] [n|head .],,,,,,,,,,VioletofViolet_Violet030600_790
791,Violet,Violet030600,I'm hugging and hugging your head .,Violet,1982.928,1985.391,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|CONJ] [5|4|COORD] [6|7|MOD] [7|5|OBJ 8|3|PUNCT],[pro:sub|I~aux|be&1S] [part|hug-PRESP] [coord|and] [part|hug-PRESP] [det:poss|your] [n|head .],,,,,,,,,,VioletofViolet_Violet030600_791
792,Violet,Violet030600,I'm hugging and hugging your head .,Violet,1985.391,1989.41,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|CONJ] [5|4|COORD] [6|7|MOD] [7|5|OBJ 8|3|PUNCT],[pro:sub|I~aux|be&1S] [part|hug-PRESP] [coord|and] [part|hug-PRESP] [det:poss|your] [n|head .],,,,,,,,,,VioletofViolet_Violet030600_792
793,Violet,Violet030600,is this your sweatshirt ?,Violet,1989.41,1994.561,[],[1|0|ROOT] [2|4|DET] [3|4|MOD] [4|1|PRED 5|1|PUNCT],[cop|be&3S] [pro:dem|this] [det:poss|your] [n|sweatshirt ?],,,,,,,,,,VioletofViolet_Violet030600_793
794,Violet,Violet030600,xxx xxx .,Violet,1994.561,1999.036,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_794
795,Violet,Violet030600,are we done taping ?,Violet,1999.036,2002.463,[],[1|4|LINK] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT 5|4|PUNCT],[cop|be&PRES] [pro:sub|we] [part|do&PASTP] [part|tape-PRESP ?],,,,,,,,,,VioletofViolet_Violet030600_795
796,Violet,Violet030600,are we done taping ?,Violet,2002.463,2004.62,[],[1|4|LINK] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT 5|4|PUNCT],[cop|be&PRES] [pro:sub|we] [part|do&PASTP] [part|tape-PRESP ?],,,,,,,,,,VioletofViolet_Violet030600_796
