Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
244,Naima,Naima021008a,"any yyy , yyy .",Naima,914.891,918.893,[],[1|0|INCROOT] [2|1|LP] [3|1|PUNCT],[qn|any] [cm|cm] [.],,,,,,,,,,NaimaofNaima_Naima021008a_244
245,Mother,Naima021008a,"roar , roar , roar , roar , roar .",Naima,918.893,924.228,[],[1|0|INCROOT 2|1|LP] [3|9|MOD 4|3|LP] [5|9|MOD 6|5|LP] [7|9|MOD 8|7|LP] [9|1|ENUM 10|1|PUNCT],[n|roar cm|cm] [n|roar cm|cm] [n|roar cm|cm] [n|roar cm|cm] [n|roar .],,,,,,,,,,MotherofNaima_Naima021008a_245
246,Mother,Naima021008a,"Pushba where did you go , it's time for bed .",Naima,924.228,927.435,[],[1|0|INCROOT] [2|5|LINK] [3|5|AUX] [4|5|SUBJ] [5|1|CMOD 6|5|LP] [7|8|SUBJ 8|5|COMP] [9|8|PRED] [10|9|NJCT] [11|10|POBJ 12|1|PUNCT],[n:prop|Pushba] [adv:int|where] [mod|do&PAST] [pro:per|you] [v|go cm|cm] [pro:per|it~cop|be&3S] [n|time] [prep|for] [n|bed .],,,,,,,,,,MotherofNaima_Naima021008a_246
247,Mother,Naima021008a,Pushba are you in here ?,Naima,927.435,933.418,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|3|JCT] [5|4|POBJ 6|3|PUNCT],[n:prop|Pushba] [aux|be&PRES] [pro:per|you] [prep|in] [adv|here ?],,,,,,,,,,MotherofNaima_Naima021008a_247
248,Mother,Naima021008a,"Pushba , did you fall down into that well ?",Naima,933.418,937.3,[],[1|5|LINK 2|1|LP] [3|1|ENUM] [4|5|SUBJ] [5|0|ROOT] [6|5|JCT] [7|5|JCT] [8|7|POBJ] [9|5|JCT 10|5|PUNCT],[n:prop|Pushba cm|cm] [v|do&PAST] [pro:per|you] [v|fall] [adv|down] [prep|into] [pro:dem|that] [adv|well ?],,,,,,,,,,MotherofNaima_Naima021008a_248
249,Mother,Naima021008a,come on out !,Naima,937.3,939.971,[],[1|0|ROOT] [2|1|JCT] [3|1|JCT 4|1|PUNCT],[v|come] [adv|on] [adv|out !],,,,,,,,,,MotherofNaima_Naima021008a_249
250,Mother,Naima021008a,let's sit here and have a conversation before we go to bed .,Naima,0.0,0.0,[],[1|0|ROOT 2|1|OBJ] [3|1|XCOMP] [4|3|JCT] [5|3|CONJ] [6|5|COORD] [7|8|DET] [8|6|OBJ] [9|11|LINK] [10|11|SUBJ] [11|6|CJCT] [12|11|JCT] [13|12|POBJ 14|1|PUNCT],[v|let~pro:obj|us] [v|sit] [adv|here] [coord|and] [v|have] [det:art|a] [n|conversation] [conj|before] [pro:sub|we] [v|go] [prep|to] [n|bed .],,,,,,,,,,MotherofNaima_Naima021008a_250
251,Naima,Naima021008a,xxx but Pushba doesn't want that .,Naima,939.971,948.04,[],[] [1|5|LINK] [2|5|SUBJ] [3|5|AUX 4|3|NEG] [5|0|ROOT] [6|5|OBJ 7|5|PUNCT],[] [conj|but] [n:prop|Pushba] [mod|do&3S~neg|not] [v|want] [pro:dem|that .],,,,,,,,,,NaimaofNaima_Naima021008a_251
252,Naima,Naima021008a,oh poor Pushba .,Naima,948.04,950.561,[],[1|3|COM] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[co|oh] [adj|poor] [n:prop|Pushba .],,,,,,,,,,NaimaofNaima_Naima021008a_252
253,Mother,Naima021008a,now it's time to have a cookie and milk .,Naima,0.0,0.0,[],[1|3|JCT] [2|3|SUBJ 3|0|ROOT] [4|3|PRED] [5|6|INF] [6|4|XMOD] [7|8|DET] [8|6|OBJ] [9|8|CONJ] [10|9|COORD 11|3|PUNCT],[adv|now] [pro:per|it~cop|be&3S] [n|time] [inf|to] [v|have] [det:art|a] [n|cookie] [coord|and] [n|milk .],,,,,,,,,,MotherofNaima_Naima021008a_253
254,Naima,Naima021008a,"yyy no , poor Pushba .",Naima,950.563,955.775,[],[] [1|4|COM 2|1|LP] [3|4|MOD] [4|0|ROOT 5|4|PUNCT],[] [co|no cm|cm] [adj|poor] [n:prop|Pushba .],,,,,,,,,,NaimaofNaima_Naima021008a_254
255,Mother,Naima021008a,what's the matter with her ?,Naima,0.0,0.0,[],[1|4|LINK 2|4|AUX] [3|4|DET] [4|0|INCROOT] [5|4|JCT] [6|5|POBJ 7|4|PUNCT],[pro:int|what~aux|be&3S] [det:art|the] [n|matter] [prep|with] [pro:obj|her ?],,,,,,,,,,MotherofNaima_Naima021008a_255
256,Naima,Naima021008a,Pushba is sick .,Naima,955.778,958.275,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[n:prop|Pushba cop|be&3S] [adj|sick .],,,,,,,,,,NaimaofNaima_Naima021008a_256
257,Mother,Naima021008a,let's go have a little bed time snack .,Naima,958.275,962.933,[],[1|0|ROOT 2|1|OBJ] [3|4|SRL] [4|1|COMP] [5|9|DET] [6|7|MOD] [7|9|MOD] [8|9|MOD] [9|4|OBJ 10|1|PUNCT],[v|let~pro:obj|us] [v|go] [v|have] [det:art|a] [adj|little] [n|bed] [n|time] [n|snack .],,,,,,,,,,MotherofNaima_Naima021008a_257
258,Mother,Naima021008a,and then we're gonna brush our teeth after that .,Naima,962.933,965.156,[],[1|6|LINK] [2|6|JCT] [3|6|SUBJ 4|6|AUX] [5|6|AUX] [6|0|ROOT] [7|8|MOD] [8|6|OBJ] [9|6|JCT] [10|9|POBJ 11|6|PUNCT],[coord|and] [adv:tem|then] [pro:sub|we~aux|be&PRES] [mod:aux|gonna] [v|brush] [det:poss|our] [n|tooth&PL] [prep|after] [pro:dem|that .],,,,,,,,,,MotherofNaima_Naima021008a_258
259,Naima,Naima021008a,and then Pushba wants to go xxx in her bed .,Naima,965.156,970.111,[],[1|4|LINK] [2|4|JCT] [3|4|SUBJ] [4|0|ROOT] [5|6|INF] [6|4|XCOMP] [] [7|6|JCT] [8|9|MOD] [9|7|POBJ 10|4|PUNCT],[coord|and] [adv:tem|then] [n:prop|Pushba] [v|want-3S] [inf|to] [v|go] [] [prep|in] [det:poss|her] [n|bed .],,,,,,,,,,NaimaofNaima_Naima021008a_259
260,Mother,Naima021008a,yeah .,Naima,970.113,971.645,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,MotherofNaima_Naima021008a_260
261,Naima,Naima021008a,Pushba is yyy xxx is xxx xxx sick in bed .,Naima,971.645,977.331,[],[1|3|SUBJ] [2|3|AUX] [] [] [3|0|ROOT] [] [] [4|3|PRED] [5|3|JCT] [6|5|POBJ 7|3|PUNCT],[n:prop|Pushba] [aux|be&3S] [] [] [cop|be&3S] [] [] [adj|sick] [prep|in] [n|bed .],,,,,,,,,,NaimaofNaima_Naima021008a_261
262,Naima,Naima021008a,Pushba .,Naima,977.331,979.325,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Pushba .],,,,,,,,,,NaimaofNaima_Naima021008a_262
263,Naima,Naima021008a,this cat got glue !,Naima,979.325,985.26,[],[1|2|DET] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ 5|3|PUNCT],[pro:dem|this] [n|cat] [v|get&PAST] [n|glue !],,,,,,,,,,NaimaofNaima_Naima021008a_263
264,Naima,Naima021008a,xxx kitty+catty do you want the medicine ?,Naima,985.26,990.245,[],[] [1|2|JCT] [2|0|ROOT] [3|4|SUBJ] [4|2|COMP] [5|6|DET] [6|4|OBJ 7|2|PUNCT],[] [adj|+n|kitty+n|cat&dn-Y] [v|do] [pro:per|you] [v|want] [det:art|the] [n|medicine ?],,,,,,,,,,NaimaofNaima_Naima021008a_264
265,Naima,Naima021008a,but the xxx was sour .,Naima,990.245,993.361,[],[1|3|LINK] [2|3|DET] [] [3|0|ROOT] [4|3|PRED 5|3|PUNCT],[conj|but] [det:art|the] [] [cop|be&PAST&13S] [adj|sour .],,,,,,,,,,NaimaofNaima_Naima021008a_265
